generation,name,score
7.2.1,Vidovik Yuille,199
7.2.1,Sigrid Wannan,199
7.2.1,Laetitia Cordingly,187
7.2.1,Eba Fidilis,187
7.2.1,Win Downage,184
7.2.1,Marylinda Strongitharm,183
7.2.1,Patrick Storcke,179
7.2.1,Demetria Paskin,179
7.2.1,Lotte Recke,175
7.2.1,Cher Ogan,174
7.2.1,Mattie Peattie,174
7.2.1,Jabez Comellini,174
7.2.1,Lanette Hunsworth,174
7.2.1,Jacobo Nutbean,174
7.2.1,Haywood Marchington,173
7.2.1,Violetta Dawltrey,173
7.2.1,Caroljean Nutbean,173
7.2.1,Maddy Colwell,172
7.2.1,Yankee Maides,172
7.2.1,Sidney Beneze,171
7.2.1,Kimbra Grave,170
7.2.1,Donnamarie Fechnie,170
7.2.1,Joye Mariyushkin,169
7.2.1,Georgi Wrangle,169
7.2.1,Kirsten Finby,169
7.2.1,Maude Eisold,168
7.2.1,Reid Klaussen,168
7.2.1,Tamiko Riply,168
7.2.1,Kevon Diem,167
7.2.1,Emily Snalham,167
7.2.1,Freddi Strattan,167
7.2.1,Freddy Southcott,167
7.2.1,Anitra Slee,166
7.2.1,Wayland McLucky,166
7.2.1,Adel O'Lyhane,165
7.2.1,Maribeth Prinett,165
7.2.1,Kendrick Keitley,165
7.2.1,Norine Gooke,165
7.2.1,Jenn Monaghan,165
7.2.1,Gusella Chipman,164
7.2.1,Aloysia Knaggs,164
7.2.1,Gerald Steele,164
7.2.1,Clementius MacLaverty,164
7.2.1,Philippa Blackler,164
7.2.1,Ofella Strettle,163
7.2.1,Audre Rankling,163
7.2.1,Penni Bigly,163
7.2.1,Corny Barwis,162
7.2.1,Dalt Railton,162
7.2.1,Sarita Bulley,162
7.2.1,Prudi Boorne,162
7.2.1,Freddy Bramhill,162
7.2.1,Edy Pamment,162
7.2.1,Ede O'Flaherty,162
7.2.1,Lilli Brettle,162
7.2.1,Laurie Andrassy,161
7.2.1,Sharl Kopp,161
7.2.1,Dorothy Bengal,161
7.2.1,Moishe Hunnisett,161
7.2.1,Wendeline Bigly,160
7.2.1,Torre Snalham,160
7.2.1,North Itscowicz,160
7.2.1,Leanna Dennert,160
7.2.1,Wittie Dahlberg,160
7.2.1,Trix Berkelay,160
7.2.1,Elga Pecha,160
7.2.1,Edy Vazquez,160
7.2.1,Rutledge Warre,160
7.2.1,Dina Birchett,159
7.2.1,Caralie Orrett,159
7.2.1,Ange Halls,159
7.2.1,Murry Blacklock,159
7.2.1,Elnar Blaycock,159
7.2.1,Monroe Slee,158
7.2.1,Ellen Kumaar,158
7.2.1,Thain Brownett,158
7.2.1,Pavla Hamblen,158
7.2.1,Jaymie Seabon,158
7.2.1,Desdemona Duley,158
7.2.1,Theodora Chamley,158
7.2.1,Vachel Gregoletti,157
7.2.1,Nicholas Sikora,157
7.2.1,Aurthur Colledge,157
7.2.1,Thorin O'Caine,157
7.2.1,Shirlene Wylam,156
7.2.1,Yoko Locksley,156
7.2.1,Rochette Brignell,156
7.2.1,Genovera Massei,156
7.2.1,Mandi Gripton,156
7.2.1,Belinda Letcher,156
7.2.1,Sidney Klarzynski,155
7.2.1,Catherin Conaboy,155
7.2.1,Suzy Tong,155
7.2.1,Emelda Asty,155
7.2.1,Charlot Issakov,155
7.2.1,Mozelle Crutchfield,155
7.2.1,Arnold Gripton,155
7.2.1,Mella Kiezler,155
7.2.1,Cordie Argyle,154
7.2.1,Alain Khomishin,154
7.2.1,Tallie Simm,154
7.2.1,Bernardina Krier,154
7.2.1,Sibyl Argyle,154
7.2.1,Ange Bissett,154
7.2.1,Hillie Robillard,153
7.2.1,Domeniga Hierro,153
7.2.1,Jenna Asson,153
7.2.1,Augustus Puckham,153
7.2.1,Juieta Tewkesbury,153
7.2.1,Wit Renvoise,153
7.2.1,Erik Blaylock,153
7.2.1,Tamiko Fusco,153
7.2.1,Ludovika Abbett,153
7.2.1,Lauree Craw,153
7.2.1,Miriam Ragdale,152
7.2.1,Burch Cressor,152
7.2.1,Norine Follis,152
7.2.1,Grazia Frier,152
7.2.1,Adi Glasebrook,152
7.2.1,Pansy Culpin,152
7.2.1,Malorie Chagg,152
7.2.1,Beatrix Rosevear,152
7.2.1,Raffarty Berzons,152
7.2.1,Nelle Pittson,152
7.2.1,Regan Gian,152
7.2.1,Bebe Broggini,152
7.2.1,Blinnie Labrum,151
7.2.1,Ahmad Darko,151
7.2.1,Melody Beardsell,151
7.2.1,Tiebold Pauluzzi,151
7.2.1,Isabella Spykins,151
7.2.1,Vanny Foskew,151
7.2.1,Harli Surmeir,151
7.2.1,Adam Sanzio,151
7.2.1,Elwin Duley,151
7.2.1,Martin Adderson,151
7.2.1,Jere Marmyon,151
7.2.1,Padraig Jowle,151
7.2.1,Lorant Chagg,151
7.2.1,Marney Raecroft,151
7.2.1,Yvonne McAllan,151
7.2.1,Tiphani Lower,151
7.2.1,Lauree Gripton,150
7.2.1,Evania Verdon,150
7.2.1,Roselia Pealing,150
7.2.1,Kermit Sparks,150
7.2.1,Dorey Koppel,150
7.2.1,Clementius Menloe,150
7.2.1,Kamilah Samwyse,150
7.2.1,Alexei Haton,150
7.2.1,Neysa Halstead,150
7.2.1,Adi Broggini,150
7.2.1,Saloma Overill,150
