generation,name,score
2.0,Dita Rozzell,203
2.0,Tiebold Feragh,198
2.0,Alexei Duran,195
2.0,Norine Belasco,194
2.0,Filmer Sibbering,186
2.0,Luce Endicott,179
2.0,Glori Zammett,177
2.0,Charlot Tomenson,177
2.0,Drusilla Standering,176
2.0,Alexei Lepick,176
2.0,Carita Dudman,175
2.0,Patty Ferrolli,174
2.0,Corenda Grolmann,173
2.0,Hewett Wrangle,172
2.0,Penni Laroze,172
2.0,Tally Tewkesbury,172
2.0,Lelia Skepper,171
2.0,Wendeline Rankling,170
2.0,Donnamarie Hamblen,170
2.0,Peder Skillern,168
2.0,Nissie Brandon,167
2.0,Ebony Coppledike,166
2.0,Datha Glavin,165
2.0,Penn Switsur,165
2.0,Caitrin Dawltrey,164
2.0,Lem Chomicki,164
2.0,Eliza Kubiczek,164
2.0,Eugine Deware,163
2.0,Andreana Jenik,163
2.0,Reynold Raddin,163
2.0,Ede Barr,163
2.0,Cookie Edwards,162
2.0,Mirella Cusick,161
2.0,Diann Finby,161
2.0,Nickolai McKissack,161
2.0,Meredithe Van Arsdalen,161
2.0,Bonnie Riden,160
2.0,Mozelle Moultrie,159
2.0,Gina Balcock,159
2.0,Danni Matthis,159
2.0,Lelia Presho,159
2.0,Kinnie Trencher,159
2.0,Maryanna Danks,158
2.0,Abran Colledge,158
2.0,Gloriane Biasetti,156
2.0,Giovanna Borless,156
2.0,Tate Gandley,156
2.0,Marnia Halston,156
2.0,Reynold Allitt,156
2.0,Robinette Culpin,155
2.0,Nonah Boatman,155
2.0,Idelle Lower,154
2.0,Earl Dyde,154
2.0,Ameline Hurl,154
2.0,Sigrid Iamittii,154
2.0,Chrystel Scading,154
2.0,Lyle Bollands,154
2.0,Tiebold Hardey,153
2.0,Yorker Rosten,153
2.0,Mahmud Tench,153
2.0,Giselbert Scambler,153
2.0,Mae Kesterton,153
2.0,Theodor Vasilov,153
2.0,Siward Else,152
2.0,Lancelot Allitt,152
2.0,Pammy Skillern,152
2.0,Mozelle Hingeley,152
2.0,Elwin Sanbroke,151
2.0,Sibley Frier,151
2.0,Norine McCurdy,151
2.0,Tessi Lindeman,151
2.0,Leanna Dempster,151
2.0,Lelia O'Gormley,151
2.0,Iain Assiter,151
2.0,Netty Mackelworth,150
2.0,Kim Sharratt,150
2.0,Rozele Lambdin,150
2.0,Mei Tree,150
2.0,Alwin Balassa,150
2.0,Tabbi Gillivrie,150
