generation,name,score
5.0,Curcio Shearmur,318
5.0,Kelli Clother,302
5.0,Maynord Hansel,299
5.0,Chrystel Sharratt,296
5.0,Marita La Padula,294
5.0,Saloma Foulds,294
5.0,Bernie Pennings,291
5.0,Pattie Giffen,291
5.0,Tilly Molyneux,290
5.0,Rourke Muscroft,290
5.0,Ree Dougan,289
5.0,Adel MacWilliam,288
5.0,Caralie Summerson,288
5.0,Trefor Porch,286
5.0,Josiah Warbey,286
5.0,Jerrome Hadigate,285
5.0,Trefor Laborda,284
5.0,Murry McBrearty,283
5.0,Ulrike Saltman,282
5.0,Lambert Skayman,282
5.0,Veronike Napper,281
5.0,Cinnamon Presho,281
5.0,Giselbert Sharratt,281
5.0,Elsy Dewire,281
5.0,Bary Lamplugh,279
5.0,Hurlee Bittany,279
5.0,Daniel Sedger,279
5.0,Drusilla Youngs,278
5.0,Drew Belverstone,278
5.0,Cher Riddell,278
5.0,Franz Antunez,278
5.0,Vachel Dawid,277
5.0,Gayleen Satteford,277
5.0,Jaimie Forsdike,277
5.0,Matty Tranmer,277
5.0,Kamilah Copley,277
5.0,Giulia France,276
5.0,Chrystel Beardsdale,276
5.0,Mozelle Robillard,276
5.0,Corny Lilburn,276
5.0,Kermit Buesden,275
5.0,Bebe Archbell,275
5.0,Wit Cusick,275
5.0,Hurlee McCuffie,274
5.0,Gerome Bocock,274
5.0,Elfrida Southward,274
5.0,Kristina McAndie,273
5.0,Tallie Pettifor,272
5.0,Mozelle Elderton,272
5.0,Justus Jeckells,272
5.0,Alister Freddi,272
5.0,Jed Redler,271
5.0,Fina Presho,269
5.0,Bary Hingeley,269
5.0,Jacinda Colledge,268
5.0,Ferne Gradon,268
5.0,Trevar Lundon,268
5.0,Jobey Suckling,268
5.0,Elbert Stickells,268
5.0,Fidole Jankovsky,268
5.0,Cathy Halls,268
5.0,Dom Strattan,267
5.0,Carmina Kearn,267
5.0,Clerc Aksell,266
5.0,Georgie Bramhill,266
5.0,Britteny De Normanville,266
5.0,Rosaline Lehrian,266
5.0,Catlaina McCaughren,265
5.0,Elle Riply,265
5.0,Shem Grigoryev,265
5.0,Jodie Bigham,265
5.0,Cosme Servante,265
5.0,Paul Stickells,264
5.0,Elnore Mullinder,264
5.0,Prudi Marchington,264
5.0,Prudi Atheis,264
5.0,Albert Teresa,264
5.0,Renie Dewire,264
5.0,Fielding Atheis,263
5.0,Haskell Braferton,263
5.0,Carolus Kurten,263
5.0,Michell Curror,263
5.0,Dalila Angier,263
5.0,Farrel Behrendsen,263
5.0,Desdemona McCreath,263
5.0,Maryanna Benza,263
5.0,Obed Bowring,263
5.0,Philomena Kearn,263
5.0,Dredi McRobert,262
5.0,Lelia Duplan,262
5.0,Alexa Runge,262
5.0,Sigismondo Dugmore,262
5.0,Lydia Jurczyk,261
5.0,Cyndy Kivlin,261
5.0,Cchaddie Pauluzzi,261
5.0,Avivah Habbert,261
5.0,Kamilah Cafe,261
5.0,Phillip Glasebrook,261
5.0,Candice Sprakes,260
5.0,Meredithe Atthow,260
5.0,Ulrike Stode,260
5.0,Hillie Marriner,260
5.0,Rosemary Cusick,260
5.0,Thurstan Ragdale,259
5.0,Kelley Mosdill,259
5.0,Nariko Foulds,259
5.0,Lotte Golde,259
5.0,Haleigh Elsdon,258
5.0,Iolanthe Hanner,258
5.0,Ruthanne Fossey,258
