generation,name,score
8.2.1,Sutherland Drivers,198
8.2.1,Norine Cressor,195
8.2.1,Ardis Rosenblum,182
8.2.1,Helen Freeborn,181
8.2.1,Chaunce Overington,177
8.2.1,Matty Anstiss,177
8.2.1,Jessie Pundy,176
8.2.1,Loni Haton,174
8.2.1,Jerrilyn Coppledike,174
8.2.1,El Greenley,174
8.2.1,Locke Cronin,173
8.2.1,Madelaine Baggallay,172
8.2.1,Idelle Begwell,171
8.2.1,Ailis Pollendine,171
8.2.1,Darsey Perch,170
8.2.1,Murvyn Van Oord,170
8.2.1,Gusella Hunnaball,170
8.2.1,Nonah Pundy,168
8.2.1,Win Cutting,167
8.2.1,Kendrick Kubiczek,165
8.2.1,Farrel Cometson,165
8.2.1,Dorothy Bollands,165
8.2.1,Kassandra Deware,164
8.2.1,Penni Lundon,164
8.2.1,Candice Kaiser,163
8.2.1,Anitra Blakemore,163
8.2.1,Ferne Baribal,163
8.2.1,Rooney Digle,162
8.2.1,Nonah Leamon,162
8.2.1,Haywood Broggini,162
8.2.1,Cindra Rogan,162
8.2.1,Cordie Gelder,162
8.2.1,Fielding Calvard,161
8.2.1,Ede Ducket,161
8.2.1,Tilly Duley,161
8.2.1,Pavia Koppel,161
8.2.1,Berty O'Scanlon,160
8.2.1,Sergio Latch,160
8.2.1,Haywood Bispham,160
8.2.1,Cornell Gun,160
8.2.1,Maria Mackelworth,160
8.2.1,Adi Ironmonger,159
8.2.1,Portie Grand,159
8.2.1,Jerrie Dutnell,158
8.2.1,Fraser Belverstone,158
8.2.1,Meara Harmond,158
8.2.1,Gerome Southward,157
8.2.1,Carmina Mc Cahey,157
8.2.1,Hewett Hewkin,157
8.2.1,North Fogt,155
8.2.1,Raffarty Beagin,155
8.2.1,Fielding Vanetti,155
8.2.1,Trevar Izkovitz,155
8.2.1,Griffin Ringrose,155
8.2.1,Celka O'Dunneen,154
8.2.1,Mason Tiffin,154
8.2.1,Austen Scambler,154
8.2.1,Claude Domoney,154
8.2.1,Rania Maton,153
8.2.1,Dehlia Forman,153
8.2.1,Matty Mosdill,153
8.2.1,Cassey Duggan,153
8.2.1,Alain Semechik,153
8.2.1,Dalila MacWilliam,152
8.2.1,Joshua Pundy,152
8.2.1,Lelia Carlo,152
8.2.1,Gilly Mellodey,152
8.2.1,Ingar Gelder,152
8.2.1,Malorie Ceschelli,151
8.2.1,Shane Standering,151
8.2.1,Curcio Mullinder,151
8.2.1,Cher Twiddell,151
8.2.1,Perrine Zupo,151
8.2.1,Ronny Buckell,150
8.2.1,Adrian Snadden,150
8.2.1,Monique Laskey,150
8.2.1,Darrelle Bonnick,150
8.2.1,Halley Cassely,150
8.2.1,Milt Culkin,150
8.2.1,Urban Pegg,149
8.2.1,Perrine Normandale,149
8.2.1,Allina Bispham,149
8.2.1,Parsifal Illingworth,149
8.2.1,Elbert Lean,149
8.2.1,Violetta Blant,149
8.2.1,Vladamir Hunnaball,149
8.2.1,Aileen Leamon,149
8.2.1,Pail Yoodall,149
8.2.1,Deena Leece,149
8.2.1,Rosemary Bagnall,149
8.2.1,Penni Vankeev,149
8.2.1,Britteny Cowndley,148
8.2.1,Harrison Fridaye,148
8.2.1,Shelba Stivey,148
8.2.1,Vachel Van der Brugge,148
8.2.1,Shelbi Beardsell,148
8.2.1,Mahmud McRobert,148
8.2.1,Locke Monaghan,148
8.2.1,Abra Danks,148
8.2.1,Norine Braley,147
8.2.1,Grazia West-Frimley,147
8.2.1,Earl Wylam,147
8.2.1,Albert Cairney,147
8.2.1,Ange MacWilliam,147
8.2.1,Moishe Redd,147
8.2.1,Luz Marriner,147
8.2.1,Gayleen Buckie,147
8.2.1,Karalee Piercey,147
8.2.1,Jaymie Tiffin,147
8.2.1,Fulton Jentzsch,147
8.2.1,Lucio Duggan,147
8.2.1,Mireille Dudman,147
8.2.1,Quintina Mellodey,147
8.2.1,Vera Forsdike,147
8.2.1,Tally Greenley,147
8.2.1,Juieta Gradon,147
8.2.1,Rosaleen Tabb,146
8.2.1,Glynn Shalcros,146
8.2.1,Even Garley,146
8.2.1,Penni Belverstone,146
8.2.1,Carita Lepick,146
8.2.1,Layney Kime,146
8.2.1,Ephrem Buesden,145
8.2.1,Dorothy Trewhella,145
8.2.1,Gibbie Petrashov,145
8.2.1,Anderea Johann,145
8.2.1,Josh Morby,145
8.2.1,Garik De Ambrosi,145
8.2.1,Ronny Mellem,145
8.2.1,Erica Piele,144
8.2.1,Cati D'Antuoni,144
8.2.1,Ronnie Baggallay,144
8.2.1,Daniel Hunnisett,144
8.2.1,Doralyn Tree,144
8.2.1,Clim Laborda,144
8.2.1,Ruthanne Martinello,144
8.2.1,Dianemarie Pebworth,144
8.2.1,Terra Koppel,144
8.2.1,Thain Wibrew,143
8.2.1,Tabbi Sandeford,143
8.2.1,Piotr Itzig,143
8.2.1,Bard Samwyse,143
8.2.1,Cristen Mulkerrins,143
8.2.1,Clerc Breinl,143
8.2.1,Andreana Chesswas,143
8.2.1,Carleton Molyneux,143
8.2.1,Lezley Meakes,143
8.2.1,Kassia Mellodey,143
8.2.1,Herb Alten,143
8.2.1,Aileen Lidster,143
8.2.1,Virgina Arlt,142
8.2.1,Evelyn Bittany,142
8.2.1,Charlot Steinham,142
8.2.1,Jude Enrdigo,142
8.2.1,Glen Overington,142
8.2.1,Klemens Wildblood,142
8.2.1,Ahmad Rutland,142
8.2.1,Aretha Blacklock,142
8.2.1,Kevon Rule,142
8.2.1,Antons Sedger,142
8.2.1,Berti Baude,142
8.2.1,Hedwig Rogeon,142
8.2.1,Darelle Warre,142
8.2.1,Ilise Sutty,142
8.2.1,Vachel Mingay,142
8.2.1,Shirlene Cressor,142
8.2.1,Linnet Duggon,142
8.2.1,Gloriana Backson,141
8.2.1,Percival Brighouse,141
8.2.1,Lem Otridge,141
8.2.1,Eugine Letcher,141
8.2.1,Leeland Plom,141
8.2.1,Juieta Pecha,141
8.2.1,Luce Sailor,141
8.2.1,Melosa Wannan,141
8.2.1,Phillie Menat,141
8.2.1,Norine Grand,141
8.2.1,Ddene Skepper,141
8.2.1,Haslett Laugherane,141
8.2.1,Evelyn Iamittii,141
8.2.1,Darsey Jeary,141
8.2.1,Conan Darko,141
8.2.1,Randy Chesswas,140
8.2.1,Nike Peacop,140
8.2.1,Pattie Fadden,140
8.2.1,Gilly Gellan,140
8.2.1,Carita Southward,140
