generation,name,score
6.1.1,Miguela Downage,163
6.1.1,Nike Sherrin,162
6.1.1,Clim Selwood,158
6.1.1,Ximenez Beaushaw,155
6.1.1,Spenser Giffon,155
6.1.1,Saundra Scherme,153
6.1.1,Alika Greatbach,153
6.1.1,Pollyanna Catford,152
6.1.1,Gerald Sedger,152
6.1.1,Marcile Hammerberger,149
6.1.1,Mattie Gasker,148
6.1.1,Mason Lymer,147
6.1.1,Ludovika MacMeanma,146
6.1.1,Aloin Riply,146
6.1.1,Cordie Biasetti,145
6.1.1,Merilee Gilders,143
6.1.1,Roosevelt Dyett,141
6.1.1,Thorin Humm,140
6.1.1,Frasier Scambler,139
6.1.1,Noelle Wanstall,139
6.1.1,Diann Baggallay,138
6.1.1,Holly McLucky,138
6.1.1,Jeri Adamczyk,138
6.1.1,Rania Mateo,138
6.1.1,Janie Matthis,137
6.1.1,Romona Harbar,137
6.1.1,Yoko Palmer,137
6.1.1,Wash Tommei,136
6.1.1,Alejandrina Gallehock,136
6.1.1,Harlie Nisbith,135
6.1.1,Georas Penkman,135
6.1.1,Edy Riden,134
6.1.1,Gaynor Illingworth,133
6.1.1,Claire Marchington,133
6.1.1,Antin Thrasher,132
6.1.1,Mason Bourley,132
6.1.1,Rad Gimblet,132
6.1.1,Arlen O'Scanlon,132
6.1.1,Curr Flintiff,131
6.1.1,Carmelia Frier,131
6.1.1,Terra Wylam,131
6.1.1,Britteny Peel,130
6.1.1,Judy Argyle,130
6.1.1,Kinnie Bocock,130
6.1.1,Romona Fenner,130
6.1.1,Tessi McElwee,130
6.1.1,Elfrida Oades,130
6.1.1,Madelyn Fridaye,130
6.1.1,Cathy Kenworthey,130
6.1.1,Dalt Puckham,129
6.1.1,Ronny Lowten,129
6.1.1,Mella Froschauer,129
6.1.1,Rania Cairney,129
6.1.1,Austen Hoodlass,129
6.1.1,Maynord Muckersie,128
6.1.1,Gerald Pickavant,128
6.1.1,Anthia Barnwille,128
6.1.1,Tiphany Domoney,128
6.1.1,Alwin Sictornes,128
6.1.1,Gerardo Bagnall,128
6.1.1,Nicholas Hanner,128
6.1.1,Araldo Lethcoe,127
6.1.1,Isabella Suckling,127
6.1.1,Lesley Middlemiss,127
6.1.1,Cindra Lindeman,127
6.1.1,Moishe Youngs,127
6.1.1,Westbrooke Ceschelli,127
6.1.1,Rutledge Skayman,127
6.1.1,Mae Grand,127
6.1.1,Kassia Durnian,127
6.1.1,Dorine Benza,127
6.1.1,Rania Gun,127
6.1.1,Ahmad Jankovsky,127
6.1.1,Gilly Kesterton,127
6.1.1,Demetra Feronet,127
6.1.1,Dionis Ogan,126
6.1.1,Kathleen Pebworth,126
6.1.1,Alexander Buckie,126
6.1.1,August Paty,126
6.1.1,Dina Galea,126
6.1.1,Doti McCuffie,126
6.1.1,Virgie Bigly,126
6.1.1,Lana Jeary,126
6.1.1,Saloma Hearthfield,125
6.1.1,Vachel Eagers,125
6.1.1,Matt Otridge,125
6.1.1,Haleigh Fridaye,125
6.1.1,Obed Montfort,125
6.1.1,Alain Servante,125
6.1.1,Corenda Tinghill,124
6.1.1,Gayle Innwood,124
6.1.1,Darrelle Groocock,124
6.1.1,Loreen Dudman,124
6.1.1,Maddy Shervil,124
6.1.1,Ferne Rockhill,124
6.1.1,Margette Oliveti,124
6.1.1,Gisela Hemmingway,124
6.1.1,Farrell Archbell,124
6.1.1,Darsey Cutting,124
6.1.1,Cosme Magauran,123
6.1.1,Dorothy Beebe,123
6.1.1,Ede Smedmore,123
6.1.1,Zita Pecha,123
6.1.1,Freddy Callar,123
6.1.1,Thorin Estabrook,123
6.1.1,Cesar Wannan,123
6.1.1,Erma Urrey,123
6.1.1,Bebe Aguirrezabala,123
6.1.1,Earl Sinfield,122
6.1.1,Oswald Harker,122
6.1.1,Marney Tench,122
6.1.1,Kelcy Tregensoe,122
6.1.1,Carmine Hodgon,122
6.1.1,Gisela Colwell,122
6.1.1,Valentina Jullian,122
6.1.1,Giulia Tommei,122
6.1.1,Sarita Ruskin,122
6.1.1,Oswald Boggers,122
6.1.1,Beatrix Jagger,122
6.1.1,Bernie Benza,121
6.1.1,Dita Wardle,121
6.1.1,Alister Tarborn,121
6.1.1,Averyl Slocket,121
6.1.1,Dom Stonman,121
6.1.1,Melody Cassely,121
6.1.1,Jacky Voelker,120
6.1.1,Randie Marcone,120
6.1.1,Philomena Peche,120
6.1.1,Araldo Balassa,120
6.1.1,Marcellus Danks,120
6.1.1,Ange Fancet,120
6.1.1,Mischa Harker,120
6.1.1,Beltran Overill,120
6.1.1,Jillie Angier,120
6.1.1,Lora Duhig,120
6.1.1,Steward Very,120
6.1.1,Maressa Galea,120
6.1.1,Virgina Bourne,120
6.1.1,Lauree Bollands,120
6.1.1,Ronnie McIlvaney,120
6.1.1,Dalt Hurl,120
6.1.1,Hillie Adamczyk,119
6.1.1,Fay Robillard,119
6.1.1,Danni Pithie,119
6.1.1,Curcio Latham,119
6.1.1,Estelle Berzons,119
6.1.1,Darelle Robillard,119
6.1.1,Antin Lynn,119
6.1.1,Rochette Riply,119
6.1.1,Jaquenetta Corns,119
6.1.1,Maurise Kiezler,119
6.1.1,Bev Itzig,119
6.1.1,Hobie Biasetti,119
6.1.1,Ertha Leads,118
6.1.1,Wendi Colwell,118
6.1.1,Fielding O'Caine,118
6.1.1,Araldo Meffen,118
6.1.1,Penni Beevens,118
6.1.1,Deanne Kivlin,118
6.1.1,Cristi Deem,118
6.1.1,Burch Smedmore,118
6.1.1,Demetria Pickavant,118
6.1.1,Dalila Wibrew,118
6.1.1,Penni Porch,118
6.1.1,Alonso Buesden,118
6.1.1,Adrian Aickin,118
6.1.1,Cesaro Gradon,118
6.1.1,Thorin Crowd,118
6.1.1,Kaila Dekeyser,117
6.1.1,Jillie Maides,117
6.1.1,Jed Bulley,117
6.1.1,Corrina Itzig,117
6.1.1,Gina Wardle,117
6.1.1,Ely Blasing,117
6.1.1,Bradan Spaldin,117
6.1.1,Gabriellia Dawltrey,117
6.1.1,Pietro Van den Hof,117
6.1.1,Wilhelmine Ormond,117
6.1.1,Adore Ormond,117
6.1.1,Shandeigh Rapinett,117
6.1.1,Keri Jewell,117
6.1.1,Brita Ruhben,117
6.1.1,Roosevelt Adamski,117
6.1.1,Kendrick Fusco,116
6.1.1,Rainer Prynne,116
6.1.1,Eb Dutnell,116
6.1.1,Saundra Van Oord,116
6.1.1,Catlaina Stoffer,116
6.1.1,Patty St. Clair,116
6.1.1,Kain Bootland,116
6.1.1,Yankee Leckey,116
6.1.1,Marney Izkovitz,116
6.1.1,Lana Jurczik,116
6.1.1,Kermit Switsur,116
6.1.1,Elysha Plom,116
6.1.1,Claire Andrzejewski,116
6.1.1,Veronike Boggers,116
6.1.1,Ruthanne Solly,116
6.1.1,Denis Drayton,116
6.1.1,Ebony Andrassy,116
6.1.1,Jerrilyn Meates,116
6.1.1,Darrelle Chartres,116
6.1.1,Lambert Halston,116
6.1.1,Cesaro McCay,116
6.1.1,Terra Moult,116
6.1.1,Deeanne Tewkesbury,116
6.1.1,Patrick Lethcoe,115
6.1.1,Eb Ginnally,115
