generation,name,score
6.4,Carola Brayson,156
6.4,Roselia Masse,152
6.4,Portie Thirlwall,148
6.4,Carson Stivers,139
6.4,Alyosha Vanetti,137
6.4,Annabel Overill,137
6.4,Nikola Mingauld,136
6.4,Adrian Gosenell,133
6.4,Godfree Andrzej,133
6.4,Henderson Morby,133
6.4,Carola Curror,130
6.4,Norine Hearst,129
6.4,Norrie Dougan,129
6.4,Ree O'Gormley,128
6.4,Dacie Greenley,128
6.4,Astrix Wanne,128
6.4,Erma Palmer,126
6.4,Wilhelmine Forman,126
6.4,Iolanthe Kennifick,126
6.4,Johnette Monksfield,126
6.4,Westbrooke Habbert,126
6.4,Kirbie Gallehock,124
6.4,Adi Gun,124
6.4,Dorella Bullocke,124
6.4,Jillie Mc Cahey,124
6.4,Mischa McCay,123
6.4,Helyn Braferton,123
6.4,Jacquenetta Puddephatt,123
6.4,Brianna Knaggs,122
6.4,D'arcy Slee,122
6.4,Janella Starsmore,122
6.4,Ban Overill,122
6.4,Ryun Pickavant,122
6.4,Winny Liebermann,121
6.4,Demetria Sherwen,121
6.4,Deeann Jowle,121
6.4,Matt Hullbrook,121
6.4,Ludovika Fenner,121
6.4,Lucio Raddenbury,121
6.4,Sigrid Baribal,120
6.4,Lancelot Sprakes,120
6.4,Tybalt Mahony,120
6.4,Paul Peacop,120
6.4,Mei Houliston,119
6.4,Bernardine Balme,119
6.4,Terra Giffen,119
6.4,Olav Vasyutin,119
6.4,Kelcy MacWilliam,119
6.4,Shannon Pennings,119
6.4,Giselbert Blant,118
6.4,Kirbie Brayson,118
6.4,Jenna Puddephatt,118
6.4,Arnold Pardue,118
6.4,Bord Benson,118
6.4,Steward Else,118
6.4,Adelice Beseke,117
6.4,Frannie Crutchfield,117
6.4,Carola Jankovsky,117
6.4,Hervey Duley,117
6.4,Gayla Sherwen,117
6.4,Carola Gian,117
6.4,El Dradey,117
6.4,Tamiko Koppel,117
6.4,Kizzie Fransinelli,117
6.4,Dag Beardsell,117
6.4,Martguerita Lillee,117
6.4,Perla Beevens,116
6.4,Inga Jentzsch,116
6.4,Vera Munson,116
6.4,Kathryne Southward,116
6.4,Delainey Magauran,116
6.4,Zita Rosenblum,116
6.4,Wayland Maghull,116
6.4,Lancelot Khomishin,116
6.4,Parnell Rogan,116
6.4,Philomena Ogan,115
6.4,Renell Southcott,115
6.4,Eugine Fossey,115
6.4,Curcio Jorden,115
6.4,Lalo Eisold,115
6.4,Gloriana Jewell,115
6.4,Jae Claesens,115
6.4,Lilli Oxburgh,115
6.4,Darelle Hillitt,115
6.4,Virgina Rutland,115
6.4,Conan Sewill,114
6.4,Kit Robillard,114
6.4,Kizzie Grolmann,114
6.4,Kim Newbatt,114
6.4,Annabel Oades,114
6.4,Hewett Hess,114
6.4,Ingar Duggon,114
6.4,Taffy Shearmur,114
6.4,Antin Bowring,114
6.4,Elladine Mulkerrins,114
6.4,Mahmud La Padula,114
6.4,Gilly Riply,114
6.4,Ailis Blaylock,114
6.4,Adam Atthow,113
6.4,Bord Dewire,113
6.4,Bartholomeo Switsur,113
6.4,Nathaniel Skillern,113
6.4,Cher Sharratt,113
6.4,Bondy Willey,113
6.4,Aubrette Renvoise,112
6.4,Penny Adamczyk,112
6.4,Adrian Glander,112
6.4,Caroljean Whitham,112
6.4,Meredithe Bigglestone,112
6.4,Orland Foulds,112
6.4,Desdemona Blakemore,112
6.4,Britteny Rydeard,112
6.4,Tally Beardsell,112
6.4,Domeniga Lambdin,112
6.4,Ly Nisbith,112
6.4,Jacky Copley,112
6.4,Eb Danks,111
6.4,Fraser Brownett,111
6.4,Jenna Greatbach,111
6.4,Perrine Johann,111
6.4,Pail Laskey,111
6.4,Britteny Fransinelli,111
6.4,Lalo Crosby,111
6.4,Maressa Dutnell,111
6.4,Gilly Bourne,111
6.4,Marita Selwood,111
6.4,North Maides,111
6.4,Bernadine Baude,111
6.4,Hakim Deem,110
6.4,Anthia Aggas,110
6.4,Datha Copley,110
6.4,Cordy Jeckells,110
6.4,Anitra Rogan,110
6.4,Bernardine Goshawk,110
6.4,Marjorie Allitt,110
6.4,Christie Loxley,110
6.4,Ardis Grave,110
6.4,Iain Aickin,110
6.4,Matty Braley,110
6.4,Alexei Satteford,110
6.4,Norine Barthrop,110
6.4,Araldo Jenik,110
6.4,Piotr Huthart,110
6.4,Farrel Saterweyte,109
6.4,Carolus Harmond,109
6.4,Albert Assiter,109
6.4,Penn Echallie,109
6.4,Appolonia Gniewosz,109
6.4,Darrelle Lowten,109
6.4,Tabby Quene,109
6.4,Antin Cressor,109
6.4,Laurie Houliston,109
6.4,Demetria Groocock,109
6.4,Ashil Coppledike,109
6.4,Osbourn Piller,109
6.4,Roderick Sharratt,109
6.4,Aeriel Lidster,109
