generation,name,score
8.2,Pamella Atthow,109
8.2,Erinna Ceschelli,109
8.2,Catherin Hassan,107
8.2,Marris Blaycock,106
8.2,Otto Gasker,105
8.2,Theadora Vasyutin,105
8.2,Lauree Tewkesbury,102
8.2,Tallulah Plowell,101
8.2,Murvyn Gooderridge,101
8.2,Nonah Balfre,101
8.2,Rosaline Isoldi,100
8.2,Bengt Chagg,100
8.2,Thain Mathiassen,99
8.2,Pavla Farra,99
8.2,Charleen Pittson,99
8.2,Patrick Viste,99
8.2,Karrie Funcheon,98
8.2,Alexei Ready,98
8.2,Ameline Finan,98
8.2,Freddy Duran,98
8.2,Ahmad Vanetti,98
8.2,Albert McClenan,97
8.2,Nike McRobert,97
8.2,Mae Fenner,97
8.2,Tally Braferton,97
8.2,Anthia McAndie,96
8.2,Garrott Labrum,96
8.2,Ezekiel Axe,96
8.2,Verina Monksfield,96
8.2,Natty Hadigate,96
8.2,Rene Tong,96
8.2,Linell Jeary,96
8.2,Ezekiel Lippiatt,95
8.2,Victor Stoney,95
8.2,Warren Southward,95
8.2,Kelli Renvoise,95
8.2,Patience Claesens,95
8.2,Lamont Hierro,95
8.2,Shandeigh Grout,94
8.2,Nevin Langland,94
8.2,Ddene Maber,94
8.2,Elbert Gert,94
8.2,Eb Bordes,94
8.2,Elladine Boatman,94
8.2,Marcile Beseke,94
8.2,Anet Tewkesbury,94
8.2,Aretha Wanstall,93
8.2,Stormie Gommery,93
8.2,Berne Finby,93
8.2,Cinnamon Duran,93
8.2,Aretha Van Halen,93
8.2,Consalve Buesden,93
8.2,Ron Coppledike,93
8.2,Rolando Salterne,93
8.2,Cristian Haton,93
8.2,Merrie Lethcoe,93
8.2,Vin Labrum,93
8.2,Gabriellia Pauluzzi,93
8.2,Nevin Fayter,93
8.2,Giulia Phettis,93
8.2,Lelia Ashford,93
8.2,Aurthur Rozzell,92
8.2,Alwin Wildblood,92
8.2,Roselia Hierro,92
8.2,Araldo McBrearty,92
8.2,Elfrida Green,92
8.2,Maje Loveitt,92
8.2,Matty Simm,92
8.2,Vanny Cusick,92
8.2,Lukas Quarrie,92
8.2,Ferne Hillitt,92
8.2,Merilee Dyett,92
8.2,Nicky Hallwell,92
8.2,Sherie Bellham,92
8.2,Lorenzo Huthart,92
8.2,Deerdre Sprakes,92
8.2,Darrelle Loxley,92
8.2,Datha Tuther,92
8.2,Lelia Moultrie,92
8.2,Nissie Steele,92
8.2,Jeri Shalcros,92
8.2,Donnamarie Suckling,91
8.2,Tisha Duggan,91
8.2,Agace Itzig,91
8.2,Kellia Bus,91
8.2,Tallulah Banbury,91
8.2,Jacinda Dorney,91
8.2,Wini Fogt,91
8.2,Cookie Rydeard,91
8.2,Dina Loxley,91
8.2,Greggory Trencher,91
8.2,Wiatt Krier,91
8.2,Belia Ivashev,91
8.2,Zora Bigrigg,91
8.2,Moishe Clerke,91
8.2,Muffin Jennick,91
8.2,Rea Congdon,91
8.2,Melamie Adamovich,91
8.2,Catherin Tarborn,91
8.2,Siward Elsdon,91
8.2,Krisha Montfort,90
8.2,Lilllie Alten,90
8.2,Cyndy Iddy,90
8.2,Gaynor Yoodall,90
8.2,Kamilah Mullinder,90
8.2,Glori Tench,90
8.2,Dionis Elmhirst,90
8.2,Mel Smedmore,90
8.2,Edy Corns,90
8.2,Spenser Adamski,90
8.2,Rafaello Verdon,90
8.2,Cchaddie Eccleshare,90
8.2,Cornell Porch,90
8.2,Valerye Gasker,90
8.2,Eliza Paulich,90
8.2,Shannon Funcheon,90
8.2,Vivyanne Masse,90
8.2,Dorine Schechter,90
8.2,Shayna Nears,90
8.2,Betteanne Josselsohn,90
8.2,Cesar Van der Brugge,90
8.2,Spenser Newbatt,90
8.2,Gerome Balcock,90
8.2,Margot Riden,90
8.2,Linn Pellamonuten,90
8.2,Renell Gosenell,89
8.2,Jodie Hunnisett,89
8.2,Jacquenetta Muckersie,89
8.2,Elladine Quarrie,89
8.2,Halley Crumby,89
8.2,Kirbie Wyllcocks,89
8.2,Roselia Iamittii,89
8.2,Dall Tewkesbury,89
8.2,Grantham McLae,89
8.2,Caralie Middlemiss,89
8.2,Beatrix Bigham,89
8.2,Astrix Bollands,89
8.2,Risa Cowndley,89
8.2,Clerc Robillard,89
8.2,Josiah Dudden,89
8.2,Nickolaus Scatchard,89
8.2,Margette Mellodey,89
8.2,Ailis Lippiatt,89
8.2,Diann Veitch,89
8.2,Bev Mackieson,88
8.2,Kerri Bonnick,88
8.2,Hillie Innwood,88
8.2,Elladine Quittonden,88
8.2,Alyosha Shillingford,88
8.2,Nolana Lidster,88
8.2,Libbie Christon,88
8.2,Dall Innwood,88
8.2,Iain La Padula,88
8.2,Annabal Phillimore,88
8.2,Donnamarie Beseke,88
8.2,Genovera Rockhill,88
8.2,Piotr Carlo,88
8.2,Lay Raecroft,88
8.2,Hillie Gooke,88
8.2,Dina Spencley,88
8.2,Suzy Fransinelli,88
8.2,Klaus Ferneley,88
8.2,Ashlin Redd,88
8.2,Dorothy Brownett,88
8.2,Renell Donohue,88
8.2,Adore Lowten,88
8.2,Carita Pebworth,88
8.2,Marcellus Mullinder,88
8.2,Lydia Culpin,88
8.2,Doralyn Cesaric,88
8.2,Kaila Petrishchev,88
8.2,Theadora Hurl,88
8.2,Danni Forsdike,88
8.2,Marjorie Blackler,88
8.2,Henry Garley,88
8.2,Lana Branford,88
8.2,Matt Menloe,88
8.2,Haleigh Vedekhin,88
8.2,Jonis Dudden,88
8.2,Orelle Mellodey,88
8.2,Jae Beseke,87
8.2,Raleigh Rockhill,87
8.2,Dom Becke,87
8.2,Hunt Kleeborn,87
8.2,Kamillah Durnian,87
8.2,Wendell Jewell,87
8.2,Dom Van Arsdalen,87
8.2,Celka Wake,87
8.2,Nathaniel Pullar,87
8.2,Consalve Fryett,87
8.2,Lynnell Riply,87
8.2,Kirsten Trimnell,87
8.2,Jaquenetta Bulley,87
8.2,Sharl Kleeborn,87
8.2,Lari Endicott,87
8.2,Holly Maton,87
