generation,name,score
6.3,Elwin Froschauer,171
6.3,Kimbra Balfre,169
6.3,Marketa Clerke,161
6.3,Marcile Keller,148
6.3,Violetta Goodinge,147
6.3,Brita Clemmen,146
6.3,Giustino Rapper,146
6.3,Paolo Lefeuvre,146
6.3,Georgi Kesterton,144
6.3,Sunny Bramhill,142
6.3,Daven Dressel,142
6.3,Serena Izkovitz,142
6.3,Haskell Klarzynski,142
6.3,Emmey Jarrard,141
6.3,Ivory Mullinder,141
6.3,Martica Fechnie,140
6.3,George Darko,139
6.3,Zita Cairney,138
6.3,Matty MacLaverty,137
6.3,Virge Ducket,137
6.3,Hildegaard Aylmer,137
6.3,Nicholas Tarborn,137
6.3,Juliana Chagg,136
6.3,Taffy Ringrose,136
6.3,Sigrid Rotham,135
6.3,Clarissa Hamnett,134
6.3,Mignon Locksley,133
6.3,Herve Sawer,133
6.3,Virgina Loveday,133
6.3,Patrick Bellham,132
6.3,Deerdre Edwards,132
6.3,Torry Rogan,132
6.3,Lesley Bourley,132
6.3,Henry Fancet,132
6.3,Lorenzo Blaycock,132
6.3,Aloysia Rydeard,132
6.3,Lyle O'Lyhane,132
6.3,Florenza Harbar,132
6.3,Lilllie Jewell,131
6.3,Nelia Loveday,131
6.3,Pattie Echallie,131
6.3,Maude Dudden,131
6.3,Merci Pardue,131
6.3,Shirlene Hannay,131
6.3,Livvy Grand,130
6.3,Jere Alstead,130
6.3,Janie Snead,130
6.3,Ferne Latham,130
6.3,Jerrilyn Harnes,130
6.3,Vachel Mellem,130
6.3,Trevar Novkovic,130
6.3,Ximenez Pickavant,130
6.3,Jonis Laroze,130
6.3,Wrennie Slocom,130
6.3,Zita Ducket,130
6.3,Fifi Petrina,129
6.3,Saundra Eisold,129
6.3,Matty Peacop,129
6.3,Wiatt Brounsell,128
6.3,Arlen Bagnall,128
6.3,Marnia Banbury,127
6.3,Torre Raddenbury,127
6.3,Cindra Allitt,127
6.3,Concettina Pittson,127
6.3,Hillie Peattie,127
6.3,Jonas Bannister,127
6.3,Ania Dyett,126
6.3,Gerianne Hadny,126
6.3,Aileen Robillard,126
6.3,Carita Mellem,126
6.3,Lelia Bremond,126
6.3,Vachel Brownett,126
6.3,Brandea Mackie,125
6.3,Corenda Gniewosz,125
6.3,Nelle Greenley,125
6.3,Vladamir Matussevich,125
6.3,Jobey Meakes,125
6.3,Loreen Vigers,125
6.3,Ximenez Chrismas,125
