generation,name,score
8.0.0,Annabel Prayer,119
8.0.0,Penni Fidilis,116
8.0.0,Audre Warratt,114
8.0.0,Dorothy Hansel,113
8.0.0,Shane Sketh,111
8.0.0,Mason Coping,109
8.0.0,Tate Laver,109
8.0.0,Harriet Congdon,109
8.0.0,Dorey Vedekhin,108
8.0.0,Anthony Bowring,107
8.0.0,Ebony Culkin,107
8.0.0,Tallie Houliston,107
8.0.0,Fay Pittson,106
8.0.0,Devi Marriner,106
8.0.0,Cesar Sommerville,105
8.0.0,Edyth McCrory,105
8.0.0,Yurik Loraine,104
8.0.0,Ree Frier,104
8.0.0,Jeremie Lillow,104
8.0.0,Pavia Sommerville,103
8.0.0,Datha Darko,103
8.0.0,Harlie Lundon,102
8.0.0,Skipper Argyle,102
8.0.0,Maria Shervil,102
8.0.0,Paola Willey,102
8.0.0,Kathleen Hammerberger,102
8.0.0,Eliza Edmonds,102
8.0.0,Anthea Martinello,102
8.0.0,Florenza Bartaloni,102
8.0.0,Linn Jarrard,101
8.0.0,Roderic Fryett,101
8.0.0,Marita Keitley,101
8.0.0,Mile Wake,100
8.0.0,Carmina Bonnick,100
8.0.0,Nata Feronet,100
8.0.0,Grazia Hoodlass,100
8.0.0,Yankee Stedson,99
8.0.0,Wrennie Suckling,99
8.0.0,Janetta Snalham,99
8.0.0,Lukas Norcock,99
8.0.0,Lucio Gooda,99
8.0.0,Lanette Atthow,99
8.0.0,Marius McClenan,99
8.0.0,Georgie Southcott,99
8.0.0,Drusilla Mosdill,98
8.0.0,Bard Ruffli,98
8.0.0,Wendell Pollendine,98
8.0.0,Linnet Dancy,98
8.0.0,Pamella Toquet,98
8.0.0,Sherie Durnford,98
8.0.0,Joshua Standering,97
8.0.0,Persis Spykins,97
8.0.0,Sherie Stickells,97
8.0.0,Ezra Levi,97
8.0.0,Gherardo Chartres,97
8.0.0,Wendi Whitham,97
8.0.0,Marcile Crudgington,97
8.0.0,Maighdiln Raecroft,96
8.0.0,Annissa Laskey,96
8.0.0,Linell Loveday,96
8.0.0,Brad Dungay,96
8.0.0,Jabez Assiter,96
8.0.0,Norine Khomishin,96
8.0.0,Peggy Mithan,96
8.0.0,Catarina Menloe,95
8.0.0,Kimberlyn Riden,95
8.0.0,Grazia Lymer,95
8.0.0,Cathy Humes,95
8.0.0,Ban Grolmann,95
8.0.0,Harlie Laskey,95
8.0.0,Rolando Gallehock,95
8.0.0,Clayson Bonnick,95
8.0.0,Nonnah Hakes,95
8.0.0,Bernardina Allwright,94
8.0.0,Padraig Barr,94
8.0.0,Josiah Curror,94
8.0.0,Aloin Heifer,94
8.0.0,Jennette Bonnick,94
8.0.0,Shandeigh Capeling,94
8.0.0,Mozelle D'Antuoni,94
8.0.0,Adel Illingworth,94
8.0.0,Spenser Strettle,94
8.0.0,Victor Adamovich,94
8.0.0,Mirella Jullian,94
8.0.0,Norine Forman,94
8.0.0,Dalila McElwee,94
8.0.0,Temple Curror,94
8.0.0,Maynord La Padula,94
8.0.0,Wilhelmine Ferneley,94
8.0.0,Catlaina Tewkesbury,93
8.0.0,Percival Archbell,93
8.0.0,Ike Morse,93
8.0.0,Carita Rosevear,93
