generation,name,score
7.1,Xenia Fechnie,215
7.1,Nissy Bramhill,193
7.1,Ludovika Witul,190
7.1,Lelia Tarborn,185
7.1,Demetra Semeniuk,181
7.1,Justen Pittson,180
7.1,Arnold Forsdike,179
7.1,Riki McCreath,178
7.1,Chrystel Oxburgh,177
7.1,Clerc Collinwood,175
7.1,Wit Mackie,174
7.1,Kristina Mahony,174
7.1,Paul Lean,174
7.1,Burch Pecha,173
7.1,Lydia Krier,172
7.1,Suzy Rosevear,170
7.1,Zelig Abramsky,170
7.1,Violetta Aguirrezabala,169
7.1,Krisha Wanstall,169
7.1,Tony Maghull,168
7.1,Gerome Itscowicz,168
7.1,Arlen Finan,166
7.1,Valerye Plom,166
7.1,Nickolai Mackelworth,165
7.1,Albert Rapinett,165
7.1,Darelle Leads,164
7.1,Florenza Matitiaho,164
7.1,Nicky Tefft,164
7.1,Addison Keller,163
7.1,Maddy Digle,161
7.1,Gisela Pullar,160
7.1,Dill Mariyushkin,160
7.1,Sharline Pauluzzi,160
7.1,Tove Durrans,160
7.1,Toni Habbert,160
7.1,Marius Loveitt,159
7.1,Carita Vasyutin,159
7.1,Philippa Lethcoe,159
7.1,Bonnie Tromans,159
7.1,Kit Crumly,158
7.1,Lizzy O'Scanlon,158
7.1,Albert Bultitude,158
7.1,Kelby Gandley,158
7.1,Roderic Flintiff,158
7.1,Kelwin Iamittii,157
7.1,Catherine Shortell,157
7.1,Even Mazdon,157
7.1,Kirbie Sanbroke,157
7.1,Phillip Mulkerrins,157
7.1,Addison Brayson,155
7.1,Virgina Bergeon,155
7.1,Margette Birchett,155
7.1,Benedikt Gillivrie,155
7.1,Ezra Collinwood,155
7.1,Kathryne Hairsnape,155
7.1,Shem Brignell,154
7.1,Genovera Belverstone,154
7.1,Jacinda Baggallay,154
7.1,Alexei Tranmer,154
7.1,Carmelia Barthrop,154
7.1,Gerianne Larraway,154
7.1,Ulrike Coneybeare,154
7.1,Ilise Loveday,153
7.1,Lambert Vigers,153
7.1,Wilhelmine Clift,153
7.1,Alexa Plom,153
7.1,Cristi Sebrook,153
7.1,Roderick Zupo,152
7.1,Concettina Hierro,152
7.1,Randal Petrishchev,152
7.1,Rancell Collinwood,152
7.1,Maje Mullinder,152
7.1,Wit Enrdigo,152
