generation,name,score
3.0,Albert Lower,200
3.0,Augustus Grout,193
3.0,Averyl Semeniuk,186
3.0,Mason Colledge,172
3.0,Jackson MacLeod,169
3.0,Eleni Selwood,166
3.0,Yankee Grantham,165
3.0,Neale Burdus,165
3.0,Edyth Laskey,164
3.0,Percival Gun,162
3.0,Laetitia Tregensoe,159
3.0,Dalila Rutland,159
3.0,Belinda Bunworth,158
3.0,Tilly Collinwood,157
3.0,Berty Orrett,156
3.0,Zollie Andrzejewski,154
3.0,Alexei Flay,153
3.0,Fay Bagnall,151
3.0,Lezley Sharratt,151
3.0,Shurlock Lillow,151
3.0,Say Scading,151
3.0,Elsy Lethcoe,150
3.0,Matt Gellan,150
3.0,Hervey McRobert,149
3.0,Druci Angier,149
3.0,Farrel Gun,149
3.0,Philomena Sawer,149
3.0,Bondy Bottini,148
3.0,Elsi Dutnell,148
3.0,Harriet Bollands,148
3.0,Lenna Saterweyte,146
3.0,Harper Wylam,145
3.0,Berne Froschauer,145
3.0,Bengt Nance,144
3.0,Alwin Brayson,144
3.0,Erinna Beaushaw,144
3.0,Cindra Colledge,144
3.0,Catarina Montfort,143
3.0,Michel Dartan,143
3.0,Goldi Dradey,143
3.0,Jehu Lovelady,143
3.0,Edyth Leahair,143
3.0,Taffy Kesterton,143
3.0,Viviana Hammerberger,143
3.0,Harrison Slocket,142
3.0,Hillel Iamittii,142
3.0,Dido Hamblen,142
3.0,Beltran Begwell,142
3.0,Nanine Adderson,142
3.0,Eb Hodgon,141
3.0,Carita Slocom,141
3.0,Sherlocke Mabbott,141
3.0,Pattin Pettifor,141
3.0,Ruthanne Kopp,141
3.0,Clim Greatbach,141
3.0,Doti Tabb,141
3.0,Byrann Froschauer,140
3.0,Marney MacAscaidh,140
3.0,Austen McFetridge,140
3.0,Pavel Ferrandez,140
3.0,Alexei Hurl,140
3.0,Erinna Southcott,140
3.0,Mireille Corten,140
3.0,Celina Mulkerrins,140
3.0,Denis Newbatt,140
3.0,Kelcy Angier,138
3.0,Perla Porch,138
3.0,Erinna Darko,138
3.0,Sunny Renvoise,138
3.0,Marjie Stivers,138
3.0,Nissy Munson,137
3.0,Maressa Warbey,137
3.0,Deanne Van Halen,137
3.0,Sigismondo Golde,137
3.0,Alain Andrassy,137
3.0,Marney McClurg,136
3.0,Alexa Dugmore,136
3.0,Grayce Dewire,136
3.0,Wendell De Normanville,136
3.0,Annabal Ardling,136
3.0,Inger Luigi,135
3.0,Prudi Fogt,135
3.0,Tiertza Matthis,135
3.0,Burch Pundy,134
3.0,Maighdiln Fenner,134
3.0,Wolfgang Tregensoe,134
3.0,Lyle Stedson,134
3.0,Richard Torrie,134
3.0,Elladine Clethro,134
3.0,Tybalt La Padula,133
3.0,Mahmud O'Lyhane,133
3.0,Torry Freeborn,133
3.0,Diann Colledge,133
3.0,Richard Louthe,133
3.0,Karyn Isbell,133
3.0,Verina Gildersleaves,133
3.0,Adrian Gimblet,133
3.0,Lora Kneaphsey,132
3.0,Barnebas Haspineall,132
3.0,Brynne Bergeon,132
3.0,Rosmunda Autry,132
3.0,Yankee Sherwen,132
3.0,Margarita Gerhartz,132
3.0,Tallie Belverstone,132
3.0,Matti Bissett,132
3.0,Brandea Blant,131
3.0,Shannon Bonnick,131
3.0,Valerye Wayper,131
3.0,Ike Rodenborch,131
3.0,Obed Duggan,131
3.0,Saundra Kubiczek,131
3.0,Linn Moult,130
3.0,Kelwin Sibbering,130
3.0,Arte Slocket,130
3.0,Kelby Jagger,130
3.0,Rancell Wickardt,130
3.0,Eba O'Lyhane,130
3.0,Kizzie Kearn,130
3.0,Druci Murty,129
3.0,Zia Rawlinson,129
3.0,Salome Puddephatt,129
3.0,Adi Summerson,129
3.0,Kerri Latch,129
3.0,Winny Brandsen,129
3.0,Tove Jankovsky,129
3.0,Bondy Mingay,129
3.0,Marita Johann,128
3.0,Georgi Ossenna,128
3.0,Livvie Issakov,128
3.0,Nelle Autry,128
3.0,Taffy McRobert,128
3.0,Catherin Trittam,128
3.0,Ede Antunez,128
3.0,Demetria Knaggs,128
3.0,Griffin Kime,128
3.0,Stanwood Slinn,128
3.0,Sabine Pegg,128
3.0,Michel Diviny,127
3.0,Lorrayne Iddy,127
3.0,Layney Jilliss,127
3.0,Astrix Spykins,127
3.0,Yetty Vankeev,127
3.0,Jackson Humm,127
3.0,Genovera De Ambrosi,127
3.0,Ryun Habbert,127
3.0,Dorey Aluard,126
3.0,Rutledge Gimblet,126
3.0,Evania Zupo,126
3.0,Karyl Frier,126
3.0,Wit Jeremaes,126
3.0,Arnold Tromans,126
3.0,Sherry Albro,126
3.0,Donnamarie Stivey,126
3.0,Eb Colkett,126
3.0,Araldo Paskin,125
3.0,Tom Baribal,125
3.0,Hamnet Semechik,125
3.0,Klemens Rosenblum,125
3.0,Regan Knaggs,125
3.0,Antons D'Antuoni,125
3.0,Erma Yuille,125
3.0,Dita Brownett,125
3.0,Jillie Biasetti,125
3.0,Elladine Scambler,125
3.0,Gloriana Shearmur,125
3.0,Nonah Lower,124
3.0,Carmina Menloe,124
3.0,Cathy Van Arsdalen,124
3.0,Shirlene Penkman,124
3.0,Aloin Marcone,124
3.0,Greggory Servante,124
3.0,Gayle Aluard,124
3.0,Albert Colledge,124
3.0,Nicko Corden,124
3.0,Lovell Newby,124
3.0,Greggory Beseke,124
3.0,Raleigh Dugmore,124
3.0,Mignon Wenban,124
3.0,Wendeline Crosby,123
3.0,Tabby Abbett,123
3.0,Nickolaus Jullian,123
3.0,Tiphani Adamski,123
3.0,Norine Gun,123
3.0,Alexa Alstead,123
3.0,Koralle Abrashkov,123
3.0,Eleni Robillard,123
3.0,Dill Martinello,123
3.0,Gabriellia Adams,123
3.0,Cherye Redit,123
3.0,Ashien Jowle,123
3.0,Ruthanne Keitley,123
3.0,Rosaleen Izkovitz,123
3.0,Linn Aylmer,123
3.0,Jacinda Aluard,122
3.0,Meredith Saterweyte,122
3.0,Nike Dopson,122
3.0,Sullivan Ogley,122
3.0,Bernardine Carne,122
3.0,Kerri Fancet,122
3.0,Jeri Tong,122
3.0,Lura Durrans,122
3.0,Carola Habbert,122
3.0,Persis Cometson,122
3.0,Padraig Beardsell,122
3.0,Billie Elderton,121
3.0,Hamnet Muckersie,121
3.0,Rania Izkovitz,121
3.0,Malorie Abrashkov,121
3.0,Edy Simm,121
3.0,Vera Hastings,121
3.0,Kevon Lean,121
3.0,Fulton Hanaford,121
3.0,Georgi Sutty,121
3.0,Meara Pindell,121
3.0,Libbie Cassely,121
3.0,Kristina Simonnot,121
3.0,Caroljean Culpin,121
3.0,Temple Monksfield,121
3.0,Freddy Burbury,121
3.0,Aileen Dugmore,121
3.0,Berti Riply,120
3.0,Olav Luigi,120
3.0,Dalt Scading,120
3.0,Verina Dopson,120
3.0,Chaunce Rosenbush,120
3.0,Marsiella Claesens,120
3.0,Lucio Calcott,120
3.0,Viviana Giacobazzi,120
3.0,Theda Asson,120
3.0,Paula Itscowicz,120
3.0,Stormie Becket,120
3.0,Dani Chipman,120
3.0,Briano Gooderridge,120
3.0,Bradan Fridaye,119
3.0,Linell Mauro,119
3.0,Ashlin Newbatt,119
3.0,Deny D'Antuoni,119
3.0,Monica Mackelworth,119
3.0,Penny Vedekhin,119
3.0,Hobie Marmyon,119
3.0,Wendell Hadny,119
3.0,Cosme Mussared,119
3.0,Adore Skepper,119
3.0,Justen Recke,119
3.0,Ronny Lepick,119
3.0,Linn Trittam,119
3.0,Dionis Fayter,119
3.0,Gerianne Brettle,119
3.0,Lauren Witul,118
3.0,Lilllie Baude,118
3.0,Colet Kleeborn,118
3.0,Karalee Blanque,118
3.0,Neille Redd,118
3.0,Warren Plom,118
3.0,Lanie Hannay,118
3.0,Erik Splevin,118
