generation,name,score
8.1.1,Ange Barnwille,126
8.1.1,Jennette Halstead,123
8.1.1,Addison Hallwell,112
8.1.1,Jerrilyn Foskew,110
8.1.1,Drusilla Whimper,108
8.1.1,Malissa Raecroft,108
8.1.1,Roselia Balfre,108
8.1.1,Cati Fadden,106
8.1.1,Aloin Strattan,106
8.1.1,Skipper Legrave,104
8.1.1,Hillie Luigi,104
8.1.1,Denis Stivey,104
8.1.1,Demetra Endicott,103
8.1.1,Austen Wrangle,101
8.1.1,Jeri Renvoise,101
8.1.1,Kamilah MacLeod,100
8.1.1,Merilee Mulkerrins,99
8.1.1,Goldi Fryett,99
8.1.1,Paul Collinwood,99
8.1.1,Katusha Yuille,98
8.1.1,Raffarty Thunders,98
8.1.1,Caitrin Tewkesbury,98
8.1.1,Persis Denyer,98
8.1.1,Linn Iddy,97
8.1.1,Augustus Dawltrey,97
8.1.1,Consalve Mathiassen,97
8.1.1,Ertha Marcone,96
8.1.1,Cordie Elderton,96
8.1.1,Benton Galea,96
8.1.1,Rozele Elsdon,96
8.1.1,Gisela Hardey,96
8.1.1,Cornell Feronet,96
8.1.1,Henry Rule,95
8.1.1,Freddi Selwood,95
8.1.1,Gisela McWaters,95
8.1.1,Erik Hassan,95
8.1.1,Karoly Hunnisett,94
8.1.1,Abra Hasloch,94
8.1.1,Lanie Mellodey,94
8.1.1,Nicoli Leads,94
8.1.1,Mozelle Hingeley,94
8.1.1,Hillie Quittonden,94
8.1.1,Sharai Mullinder,93
8.1.1,Deeann Goodliff,93
8.1.1,Loni Duran,93
8.1.1,Lana Keller,93
8.1.1,Coralyn Paiton,92
8.1.1,Eleni Bottini,92
8.1.1,Ragnar Boggers,92
8.1.1,Roosevelt Zorzenoni,92
8.1.1,Bev Rodenborch,92
8.1.1,Jae Jankovsky,92
8.1.1,Maribeth Kippling,92
8.1.1,Dredi Bigham,92
8.1.1,Meredithe Belverstone,92
8.1.1,Drew Dungay,92
8.1.1,Odette Rutland,92
8.1.1,Neysa Chander,92
8.1.1,Maighdiln Assiter,92
8.1.1,Lyell Galea,92
8.1.1,Ashien Maton,91
8.1.1,Shelba Matthis,91
8.1.1,Wit Muckersie,91
8.1.1,Sarita Blanque,91
8.1.1,Norine Kennifick,91
8.1.1,Jed Fidilis,91
8.1.1,Linn Bus,91
8.1.1,Alejandrina Mellem,91
8.1.1,Hillery Kneaphsey,91
8.1.1,Yetty Galea,91
8.1.1,Koralle Levi,91
8.1.1,Bartholemy Illingworth,91
8.1.1,Johnette Blackler,91
8.1.1,Appolonia Donohue,91
8.1.1,Urbanus Statter,90
8.1.1,Cristen Alstead,90
8.1.1,Nadya Strongitharm,90
8.1.1,Nat Van den Hof,90
8.1.1,Bebe Comellini,90
8.1.1,Sunny Stewart,90
8.1.1,Kain Alstead,90
8.1.1,Jaymie Gimblet,90
8.1.1,Philippa Monksfield,90
8.1.1,Nickolai Lower,90
8.1.1,Kassia Pettiford,90
8.1.1,Bengt O'Gormley,90
8.1.1,Ilise Nears,90
8.1.1,Rosaline Baribal,90
8.1.1,Luce Blackler,89
8.1.1,Zachariah Petrishchev,89
8.1.1,Murvyn Liebermann,89
8.1.1,Martica Brighouse,89
8.1.1,Irina Beaushaw,89
8.1.1,Emelyne Grout,89
8.1.1,Coraline La Padula,89
8.1.1,Kamilah O'Caine,89
8.1.1,Cyndy Sailor,88
8.1.1,Gaynor Creswell,88
8.1.1,Regan Else,88
8.1.1,Laurie Satteford,88
8.1.1,Elle Pennings,88
8.1.1,Clim Cafe,88
8.1.1,Virge Marriner,88
8.1.1,Lynnell Quarrie,88
8.1.1,Anet Bourley,88
8.1.1,Thor Southcott,88
8.1.1,Tallulah Overill,88
8.1.1,Marris Bultitude,88
8.1.1,Rosabella Railton,88
8.1.1,Lanette Deane,88
8.1.1,Saloma Dumberrill,88
8.1.1,Harper Curror,87
8.1.1,Virgina Citrine,87
8.1.1,Tiphany Aldwich,87
8.1.1,Cornell Tewkesbury,87
8.1.1,Hillie Sharratt,87
8.1.1,Vanny Toquet,87
8.1.1,Marsiella Fisk,87
8.1.1,Micheline Lynn,87
8.1.1,Justen Hrynczyk,87
8.1.1,Brandea Durrans,87
8.1.1,Kirbie Dudden,87
8.1.1,Jodie Sinfield,87
8.1.1,Normy Scambler,87
8.1.1,Cordie Kneaphsey,87
8.1.1,Kelley Semeniuk,87
8.1.1,Wendeline Vankeev,87
8.1.1,Cesaro Brounsell,86
8.1.1,Ashil Coneybeare,86
8.1.1,Melody Mathiassen,86
8.1.1,Cindra Andrzejewski,86
8.1.1,Randie Jagger,86
8.1.1,Gherardo Fisk,86
8.1.1,Gloriana Dawltrey,86
8.1.1,Sharl Larraway,86
8.1.1,Adore McKissack,86
8.1.1,Mischa Bartaloni,86
8.1.1,Kristina Aspinwall,86
8.1.1,Mara Hamnett,86
8.1.1,Jacky Tregensoe,86
8.1.1,Kelwin Legrave,86
8.1.1,Alair Hanaford,86
8.1.1,Marjie Van den Hof,86
8.1.1,Raina Barr,86
8.1.1,Emelyne Hairsnape,86
8.1.1,Pavel Boatman,86
8.1.1,Romona Ironmonger,86
8.1.1,Ede Ferneley,86
8.1.1,Yetty Recke,86
8.1.1,Cosme Tong,86
8.1.1,Virge Liebermann,86
8.1.1,Kylila Giffon,86
8.1.1,Cristian Tregensoe,86
8.1.1,Melamie Greenley,86
8.1.1,Nickolaus Wyllcocks,86
8.1.1,Moishe Stivers,85
8.1.1,Lukas Vasilov,85
8.1.1,Kaila Hardey,85
8.1.1,Eddi Aguirrezabala,85
8.1.1,Berti Borless,85
8.1.1,Wendell Edwards,85
8.1.1,Lukas Stode,85
8.1.1,Caitrin Matitiaho,85
8.1.1,Maryanna Glander,85
8.1.1,Genovera Letcher,85
8.1.1,Margette Gemelli,85
8.1.1,Sherlocke Lower,85
8.1.1,Emmey D'Antuoni,85
8.1.1,Victor Wannan,85
8.1.1,Tamiko Snead,85
8.1.1,Tuckie Keeting,85
8.1.1,Steward Kippling,85
8.1.1,Rosabella West-Frimley,85
8.1.1,Hildegaard Wayper,85
8.1.1,Neille Wollacott,85
8.1.1,Wilfrid Sprakes,85
8.1.1,Ahmed Pundy,85
8.1.1,Elnar Peacop,85
8.1.1,Lancelot Fusco,85
8.1.1,Ahmed Buckie,85
8.1.1,Andreana Bigham,85
8.1.1,Lyle Catford,85
8.1.1,Dorine Blakemore,85
8.1.1,Aloysia Atthow,85
8.1.1,Tabbi Asty,85
8.1.1,Clementius Estabrook,85
8.1.1,Dill Baude,85
8.1.1,Demetria Scatchard,85
8.1.1,Elsy Axe,85
8.1.1,Sullivan Le Grand,84
8.1.1,Giulia Garci,84
8.1.1,Lovell Kubiczek,84
8.1.1,Hirsch Glasebrook,84
8.1.1,Saundra Van Halen,84
8.1.1,Cristi McRobert,84
8.1.1,Gerardo Khomishin,84
8.1.1,Jenna Hartin,84
8.1.1,Abagael Cassely,84
8.1.1,Carson Torrie,84
8.1.1,Caddric Aldwich,84
8.1.1,Averyl Atthow,84
8.1.1,Maurise Kiezler,84
8.1.1,Candice Brownett,84
8.1.1,Thor Fogt,84
8.1.1,Corenda Kime,84
8.1.1,Adam Hadigate,84
8.1.1,Janella Kime,84
8.1.1,Lilllie Sutty,84
8.1.1,Paul Chamley,84
8.1.1,Leeland Clethro,84
8.1.1,Abran Digle,84
8.1.1,Nelia Marmyon,84
8.1.1,Jodie Molyneux,84
8.1.1,Theadora Halstead,84
8.1.1,Maria Tabb,84
8.1.1,Demetra Liebermann,84
8.1.1,Klemens Mackieson,84
8.1.1,Evelyn Deschelle,84
8.1.1,Ernaline Bulley,84
8.1.1,Micheline Ardling,84
8.1.1,Bev Barnwille,84
8.1.1,Hedwig Van Halen,84
8.1.1,Ameline Habbert,83
8.1.1,Laurie Brayson,83
8.1.1,Rania Gasker,83
8.1.1,Ron Tuther,83
8.1.1,Marjorie Bigglestone,83
8.1.1,Adrian Van Arsdalen,83
8.1.1,Gerardo Snadden,83
8.1.1,Thurstan Burkart,83
8.1.1,Adelice Sprakes,83
8.1.1,Sibley Seabon,83
8.1.1,Bartholomeo O'Flaherty,83
8.1.1,Iain Gooke,83
8.1.1,Philippa Matthis,83
8.1.1,Mara Flintiff,83
8.1.1,Shannon Sketh,83
8.1.1,Conan Beagin,83
8.1.1,Jed Abbett,83
8.1.1,Alwin Piercey,83
8.1.1,Raimondo Pullar,83
8.1.1,Lay Stockau,83
8.1.1,Roman Buesden,83
8.1.1,Rourke Ossenna,83
8.1.1,Beatrix Perch,83
8.1.1,Paul Dreelan,83
8.1.1,Wini Satteford,83
8.1.1,Koralle Manlow,83
8.1.1,Fifi Greatbach,83
8.1.1,Sherry Pickavant,83
8.1.1,Eziechiele Bayles,83
8.1.1,Tybalt Burkart,83
8.1.1,Randal McKissack,83
8.1.1,Anet Crudgington,83
8.1.1,Grazia Bartaloni,83
8.1.1,Kelli Semeniuk,83
8.1.1,Hillery Cronin,83
8.1.1,Netty Saunder,83
8.1.1,Claude Pirrone,83
8.1.1,Henderson Chander,83
8.1.1,Kellia Crudgington,83
8.1.1,Brandea Stoney,83
8.1.1,Blinnie St. Clair,82
8.1.1,Maurise Southcott,82
8.1.1,Rosaline Lethcoe,82
8.1.1,Carolus Beaushaw,82
8.1.1,Demetria Clemmen,82
8.1.1,Ferne Saterweyte,82
8.1.1,Deena Hrynczyk,82
