generation,name,score
6.0,Ruthanne Matthis,133
6.0,Gusella Baribal,127
6.0,Valerye Halstead,123
6.0,Anet Sherrell,120
6.0,Lamont Fridaye,120
6.0,Gayla Prynne,114
6.0,Ashlin Sinderland,114
6.0,Maddy Elsdon,111
6.0,Ram Klaussen,109
6.0,Nat Baggallay,109
6.0,Shane Muckersie,109
6.0,Brita Sinfield,109
6.0,Marsiella Crumby,108
6.0,Wash Marcone,108
6.0,Darelle Quittonden,108
6.0,Roosevelt Belverstone,107
6.0,Dido Dyett,106
6.0,Nata Maghull,106
6.0,Gisela Autry,106
6.0,Lelia Gooda,105
6.0,Gherardo Fridaye,105
6.0,Cindra Wylam,104
6.0,Cati Jagger,104
6.0,Maude Bus,104
6.0,Ardis Brighouse,103
6.0,Wash La Padula,103
6.0,Brita Fenner,103
6.0,Meredithe Middlemiss,103
6.0,Deedee Bowring,102
6.0,Frannie Beaushaw,102
6.0,Leanna Haspineall,102
6.0,Cinda Buckie,102
6.0,Albert Jeary,102
6.0,Janie Pearsall,101
6.0,Humberto Crudgington,101
6.0,August Hadigate,100
6.0,Catherin Mosdill,100
6.0,Corry Stoffer,100
6.0,Janetta Kenworthey,100
6.0,Berty Happs,99
6.0,Ulrike Kippling,99
6.0,Astrix Belasco,99
6.0,Pattie MacAscaidh,99
6.0,Mal Keeting,99
6.0,Eddi Roney,99
6.0,Jobey Sanbroke,99
6.0,Helen Hanaford,99
6.0,Kit Murty,98
6.0,Cordie McNeillie,98
6.0,Gusella Crutchfield,98
6.0,Fay Hurl,98
6.0,Giulia Johann,98
6.0,Bartholomeo Garley,98
6.0,Maryanna Semechik,98
6.0,Idelle Baude,97
6.0,Coraline Wickardt,97
6.0,Jacky Ginnally,97
6.0,Tamiko Mioni,97
6.0,Tabbi Dempster,97
6.0,Kylila Corris,96
6.0,Koralle Dyett,96
6.0,Maddy Paskin,96
6.0,Christie Dunbobin,96
6.0,Kelby Jagger,96
6.0,Violetta Galea,96
6.0,Suzy Meakes,96
6.0,Neille Cordingly,96
6.0,Davita Coppledike,96
6.0,Orelle Behrendsen,96
6.0,Neille Gilders,95
6.0,Curcio Bottini,94
6.0,Taffy Smitheman,94
6.0,Pattie Pebworth,94
6.0,Bev Adamski,94
6.0,Kit Feragh,94
6.0,Mirella Chaff,94
6.0,Elfrida Luigi,94
6.0,Alair Corns,94
6.0,Marjie Tommei,94
6.0,Sergio Gooke,94
6.0,Avivah Dufty,94
6.0,Jessey Leverson,94
6.0,Bernadine Sketh,94
6.0,Nicholas Dartan,93
6.0,Terra Hanaford,93
6.0,Dalila Hanner,93
6.0,Say Farra,93
6.0,Haywood Cassely,93
6.0,Hedwig Sictornes,93
6.0,Willy Dansie,93
6.0,Josh Hearmon,93
6.0,Dionis Normavill,93
6.0,Riki Vasyutin,93
6.0,Wilhelmine Pullar,93
6.0,Wilhelmine Conaboy,93
6.0,Peder Redit,93
6.0,Herve Kiezler,93
6.0,Corrina Tewkesbury,92
6.0,Tallulah McCay,92
6.0,Eb Barwis,92
6.0,Carleton France,92
6.0,Erinna Citrine,92
6.0,Lamont Klarzynski,92
6.0,Lilllie Wylam,92
6.0,Perla Finby,92
6.0,Theodor Etheredge,92
6.0,Ike Chipman,92
6.0,Waite Calcott,92
6.0,Gayle Christon,92
6.0,Ebony Wenban,92
6.0,Nickolaus Krienke,92
6.0,Grazia Martinello,92
6.0,Lorita Carlo,92
6.0,Aretha Lillow,92
6.0,Rad Grimwade,91
6.0,Keri Massei,91
6.0,Ertha Sketh,91
6.0,Betteanne Else,91
6.0,Nathaniel Latham,91
6.0,Grantham Shervil,91
6.0,Saloma O'Lyhane,91
6.0,Deerdre Koppel,91
6.0,Tiertza Storcke,91
6.0,Stephie Jannings,91
6.0,Orland Calvard,90
6.0,Godfree Lowre,90
6.0,Kirsten Hewkin,90
6.0,Sharai Edwards,90
6.0,Margette Robertacci,90
6.0,Lukas Lundon,90
6.0,Albert Matitiaho,90
6.0,Nicko Wanstall,90
6.0,Persis Brownett,90
6.0,Marja Ossenna,90
6.0,Pamella Ruskin,90
6.0,Ellen Petrashov,90
6.0,Adel Lillee,90
6.0,Skipper Palmer,90
6.0,Raimondo Dougan,90
6.0,Ofelia Fancet,90
6.0,Coraline O'Dunneen,90
6.0,Erik Sinfield,89
6.0,Temple Tarborn,89
6.0,Jehu Idney,89
6.0,Zora Stoney,89
6.0,Sutherland Raecroft,89
6.0,Milt De Ambrosi,89
6.0,Shelba Skillern,89
6.0,Brandea Stickells,89
6.0,Theodor Loxley,89
6.0,Lilllie Aluard,89
6.0,Madelaine Warratt,89
6.0,Paul Mellem,89
6.0,Krisha Catford,89
6.0,Jacky Balfre,89
6.0,Laurie Kime,89
6.0,Allina McIlvaney,89
6.0,Corrinne Rapper,89
6.0,Nariko Grigoryev,89
6.0,Evania Foskew,89
6.0,Nevin Jentzsch,89
6.0,Cathy Overington,89
6.0,Cher Bittany,89
6.0,Sharline Bartaloni,89
6.0,Clayson Beardsell,89
6.0,Paul Fechnie,89
6.0,Elnar MacWilliam,89
6.0,Burch McAllan,88
6.0,Sibley Mabbett,88
6.0,Tallie Duggon,88
6.0,Gerald Grand,88
6.0,Ashlin Kippling,88
6.0,Dalila Jacqueminet,88
6.0,Rosaleen Puckham,88
6.0,Danni Otridge,88
6.0,Elnar Vazquez,88
6.0,Carolee Happs,88
6.0,Shirlene Torrie,88
6.0,Tessi Clethro,88
6.0,Zollie Mazdon,88
6.0,Brad Habbert,88
6.0,Byrann Izkovitz,87
6.0,Gilly Benson,87
6.0,Sherlocke Bocock,87
6.0,Janie Mingay,87
6.0,Kathleen Skayman,87
6.0,Muffin Wake,87
6.0,Zora Isbell,87
6.0,Kellia Perrone,87
6.0,Suzy Sanbroke,87
6.0,Emelyne Cometson,87
6.0,Mason Tabb,87
6.0,Gabriellia Hallwell,87
6.0,Randy Orrett,87
6.0,Kelwin Deem,87
6.0,Andrei Scatchard,86
6.0,Eb Ardling,86
6.0,Lilli Wollacott,86
6.0,Chantal McClenan,86
6.0,Alexa Vanetti,86
6.0,Tiebold Tomenson,86
6.0,Rosmunda Garci,86
6.0,Elwin Simonnot,86
6.0,Xenia Slinn,86
6.0,Archy Londors,86
6.0,Ddene Mellem,86
6.0,Carolina Gert,86
6.0,Melody Pickavant,86
6.0,Lem Redd,86
6.0,Rozele Josselsohn,86
6.0,Nonnah Hearthfield,86
6.0,Freddy Jannings,86
6.0,Elladine Witul,86
6.0,Sibyl Prynne,86
6.0,Jeramey Bergeon,86
6.0,Jacky Selvester,86
6.0,Shem Wardle,86
6.0,Thain Lidster,86
6.0,Essy Van der Velde,85
6.0,Gibbie Spuner,85
6.0,Idelle Vasyutin,85
6.0,Kelley Wyllcocks,85
6.0,Inga Wyllcocks,85
6.0,Kinnie Mackieson,85
6.0,Cathy Gerhartz,85
6.0,Dina O'Caine,85
6.0,Demetra Humes,85
6.0,Lorenzo McAndie,85
6.0,Paola Gilders,85
6.0,Pavia Braune,85
6.0,Kayne Perrone,85
6.0,Theadora Ferreira,85
6.0,Holly Chesswas,85
6.0,Roselia Anstiss,85
6.0,Deanne Stedson,85
6.0,Juieta Crumby,85
6.0,Theda Golde,85
6.0,Victor Abbett,85
6.0,Iolanthe Jullian,85
6.0,Rancell Chessum,85
6.0,Loreen Sturch,85
6.0,Red Jeary,85
6.0,Oralie Wrangle,85
6.0,Nataline Leamon,85
6.0,Patrick Boorne,85
6.0,Davin Dawid,84
6.0,Roderic Moult,84
6.0,Kipper Sictornes,84
6.0,Muffin Haspineall,84
6.0,Victor Baribal,84
6.0,Ivory Allwright,84
6.0,Cristian Barwis,84
6.0,Benton Ferrolli,84
6.0,Berty Torrie,84
6.0,Saundra Fabry,84
6.0,Rianon Tewkesbury,84
6.0,Yetty Perch,84
6.0,Kassandra Londors,84
6.0,Alair Morse,84
6.0,Hurlee Conaboy,84
6.0,Cammie Bayles,84
6.0,Deedee Beebe,84
6.0,Rea Baribal,84
6.0,Locke Hewkin,84
6.0,Lynnell Forsdike,84
6.0,Leanna Montfort,84
